job_title,job_detail_url,job_listed,company_name,company_link,company_location
Commercial and Residential Real Estate Expert,https://eg.linkedin.com/jobs/view/commercial-and-residential-real-estate-expert-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3915325400?position=10&pageNum=12&refId=AHX%2BTkIrmw8TNl1Oefstgg%3D%3D&trackingId=MH8JqcqLp6VOlBWGEVueBQ%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Accountant,https://eg.linkedin.com/jobs/view/accountant-at-snap14-production-3943188526?position=1&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=8KPgV6VvZ%2BGinNlbdKxZrQ%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,SNAP14 Production,https://eg.linkedin.com/company/snapfourteen?trk=public_jobs_jserp-result_job-search-card-subtitle,"Qesm El Maadi, Cairo, Egypt"
Project Engineer,https://eg.linkedin.com/jobs/view/project-engineer-at-elsewedy-electric-3911068486?position=2&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=k1CodIs59c0z9AgygTIENg%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,ELSEWEDY ELECTRIC,https://eg.linkedin.com/company/elsewedyelectric?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
HR Operations Specialist,https://eg.linkedin.com/jobs/view/hr-operations-specialist-at-tagaddod-3952308679?position=3&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=qclTbebNCDyv6lvTbjgCag%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Tagaddod,https://eg.linkedin.com/company/tagaddod?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Chief Accountant,https://eg.linkedin.com/jobs/view/chief-accountant-at-arpuplus-arpu-telecommunications-services-3946470084?position=4&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=zBzEwUmZuVp2maX5zrdZfg%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,ArpuPlus - ARPU Telecommunications Services,https://eg.linkedin.com/company/arpuplusofficial?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Customer Service - Telecommunication Vacancies,https://eg.linkedin.com/jobs/view/customer-service-telecommunication-vacancies-at-a3malouna-com-3943234643?position=5&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=gPSIP%2FmTZ8B3cg1Mu0Y0TQ%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,A3malouna.com,https://www.linkedin.com/company/a3malouna?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt"
Site Engineer,https://eg.linkedin.com/jobs/view/site-engineer-at-alfa-medical-group-3943010749?position=6&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=4pfgfqrFFe%2BtUbsx4Z57aw%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,Alfa Medical Group,https://eg.linkedin.com/company/alfamedicalgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt"
FP&A Analyst,https://eg.linkedin.com/jobs/view/fp-a-analyst-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3957550458?position=7&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=BaOUR7icgJLbpxCcKEfIog%3D%3D&trk=public_jobs_jserp-result_search-card,3 days ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Marketing Internship Program,https://eg.linkedin.com/jobs/view/marketing-internship-program-at-illa-3948353470?position=8&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=uTbwEVTSrdO18BPV6X6Ezw%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,ILLA,https://eg.linkedin.com/company/illa-for-transportation-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Property Consultant,https://eg.linkedin.com/jobs/view/property-consultant-at-beit-network-3905493270?position=9&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=AUqK%2BrB%2BH2rjggF9XPRfdg%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Beit Network,https://eg.linkedin.com/company/beit-network?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt"
Customer Service in airport (Contract based-3 month),https://eg.linkedin.com/jobs/view/customer-service-in-airport-contract-based-3-month-at-orange-egypt-3935608887?position=10&pageNum=15&refId=nKk4GDeHZAMiGu0YpO2RJQ%3D%3D&trackingId=R5Xl%2FkPs%2BupRN6esPRC6Gg%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Orange Egypt,https://eg.linkedin.com/company/orange-egypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Payroll Relationship Manager,https://eg.linkedin.com/jobs/view/payroll-relationship-manager-at-al-ahli-bank-of-kuwait-egypt-3943027588?position=1&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=vloWk1SQ%2BKxaWxDJsbpSSA%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,Al Ahli Bank of Kuwait - Egypt,https://eg.linkedin.com/company/abkegypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Jizah, Egypt"
Assistant Manager Finance,https://eg.linkedin.com/jobs/view/assistant-manager-finance-at-noon-3941131732?position=2&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=idqiSef15jFTkVFCIPK3sw%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Content Creator & Analyst Internship,https://eg.linkedin.com/jobs/view/content-creator-analyst-internship-at-illa-3938929248?position=3&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=B0cnsYmLVlkzjbMzDsQUog%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,ILLA,https://eg.linkedin.com/company/illa-for-transportation-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Manufacturing Manager,https://eg.linkedin.com/jobs/view/manufacturing-manager-at-ssc-egypt-3924224524?position=4&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=8qOsjnI2vkoQFr1QZ%2FCr1w%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,SSC Egypt,https://eg.linkedin.com/company/ssc-egypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Scrum Master,https://eg.linkedin.com/jobs/view/scrum-master-at-money-fellows-3931174724?position=5&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=mjjGiyvnnxmva9R6rI0iiQ%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Money Fellows,https://eg.linkedin.com/company/moneyfellows?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
"Assistant Manager, Finance",https://eg.linkedin.com/jobs/view/assistant-manager-finance-at-noon-3943111701?position=6&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=m3Txz%2BL3FBUK%2Fd%2FmfKQU7g%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Technical Support/Help Desk,https://eg.linkedin.com/jobs/view/technical-support-help-desk-at-migrationit-3941561131?position=7&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=5Qb10p3VPeUZK4LC70g%2BYA%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,MigrationIT,https://eg.linkedin.com/company/migrationit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Greek VRI/OPI Interpretation Vacancy (Cairo) (Remote),https://eg.linkedin.com/jobs/view/greek-vri-opi-interpretation-vacancy-cairo-remote-at-kalamcx-3953542336?position=8&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=4kcb7xuhklBP5FjOyIcdWw%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Kalamcx,https://ae.linkedin.com/company/kalamcx?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Head of Content,https://eg.linkedin.com/jobs/view/head-of-content-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3921055405?position=9&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=t3NoD6lNK8oFdA4tKIzI9A%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
CEO Office Assistant/Manager,https://eg.linkedin.com/jobs/view/ceo-office-assistant-manager-at-ssc-egypt-3892239721?position=10&pageNum=17&refId=moqykwXnqB0ldduGHPJXyQ%3D%3D&trackingId=yQ34nEZGK4BWhoh%2BTzyMyw%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,SSC Egypt,https://eg.linkedin.com/company/ssc-egypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
SMEs Relationship Manager - Sadat,https://eg.linkedin.com/jobs/view/smes-relationship-manager-sadat-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3737243035?position=1&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=%2FograIuHoq0zSROH0Uo7rA%3D%3D&trk=public_jobs_jserp-result_search-card,8 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Senior Graphic Designer,https://eg.linkedin.com/jobs/view/senior-graphic-designer-at-mrsool-%D9%85%D8%B1%D8%B3%D9%88%D9%84-3936812349?position=2&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=QH8y0ti%2BmrzjReHKZLk8nw%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,MRSOOL | مرسول,https://sa.linkedin.com/company/mrsool-co?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Content Creator & Copywriter,https://eg.linkedin.com/jobs/view/content-creator-copywriter-at-on-hire-3935607092?position=3&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=HfiMWcWul6z%2FzEP85y6y6g%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,On-Hire,https://eg.linkedin.com/company/on-hire?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
"Senior Specialist, Procurement",https://eg.linkedin.com/jobs/view/senior-specialist-procurement-at-egyptian-banks-company-3947270694?position=4&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=zQZyscYxfu7HD8YjGzRzPA%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Egyptian Banks Company,https://eg.linkedin.com/company/egyptian-banks-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Qesm 5th, Al Minya, Egypt"
Social Media and Content Creator Intern,https://eg.linkedin.com/jobs/view/social-media-and-content-creator-intern-at-crossworkers-egypt-3948047649?position=5&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=jySbR1schdKk4zusCqECJA%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,Crossworkers-Egypt,https://eg.linkedin.com/company/crossworkers-egypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt"
Jr. Business Controller - Egypt,https://eg.linkedin.com/jobs/view/jr-business-controller-egypt-at-danone-3960015367?position=6&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=vwENfV2DUwPwpAPF2bBuNA%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,Danone,https://fr.linkedin.com/company/danone?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Technology Internship Program,https://eg.linkedin.com/jobs/view/technology-internship-program-at-illa-3948352821?position=7&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=TVMJzppGSsiHkPjAlcd5Jg%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,ILLA,https://eg.linkedin.com/company/illa-for-transportation-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Operations Engineer,https://eg.linkedin.com/jobs/view/operations-engineer-at-tagaddod-3930130065?position=8&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=XOJSgrvonqNjd26VHr9DJA%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Tagaddod,https://eg.linkedin.com/company/tagaddod?trk=public_jobs_jserp-result_job-search-card-subtitle,"Alexandria, Alexandria, Egypt"
Office Admin Vacancy.,https://eg.linkedin.com/jobs/view/office-admin-vacancy-at-rekrut-by-talent-360-3921457912?position=9&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=bDWwy5E7iCHZ3mZse6dD9A%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Rekrut by Talent 360,https://eg.linkedin.com/company/rekrut-talents?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Graphic Design,https://eg.linkedin.com/jobs/view/graphic-design-at-talent-disruptors-3860726095?position=10&pageNum=20&refId=XmcgZO8CXqIsBp8T%2B4CiUg%3D%3D&trackingId=KnloYtV4ignVTuIAYaiPeg%3D%3D&trk=public_jobs_jserp-result_search-card,3 months ago,Talent Disruptors,https://www.linkedin.com/company/talentdisruptors?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
Finance Reporting Supervisor,https://eg.linkedin.com/jobs/view/finance-reporting-supervisor-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3902609874?position=1&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=kqjp0EPEzH%2FsOlAvGuYsWg%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Junior Talent Acquistion Specialist (Hybrid),https://eg.linkedin.com/jobs/view/junior-talent-acquistion-specialist-hybrid-at-bayantech-3949016329?position=2&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=UKBJWu0jYjjyFLUB6axTEw%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Bayantech,https://ae.linkedin.com/company/bayan-tech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt"
Receptionist,https://eg.linkedin.com/jobs/view/receptionist-at-gartner-lee-limited-3958942792?position=3&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=JIyaet010dDdQ80T8e2EdA%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Gartner Lee Limited,https://ca.linkedin.com/company/gartner-lee-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ismailia, Al Isma'iliyah, Egypt"
"Compliance Operations Analyst (KYB, AML, KYC)",https://eg.linkedin.com/jobs/view/compliance-operations-analyst-kyb-aml-kyc-at-pluto-3955858987?position=4&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=OnAxOGNbopI7OBhdgPkQew%3D%3D&trk=public_jobs_jserp-result_search-card,5 days ago,Pluto,https://ae.linkedin.com/company/plutocardmena?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Collections Specialist,https://eg.linkedin.com/jobs/view/collections-specialist-at-nawy-3921516929?position=5&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=2FUaM849pIHcc71pf7R9WQ%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Nawy,https://eg.linkedin.com/company/nawyestate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Site Engineer,https://eg.linkedin.com/jobs/view/site-engineer-at-travco-properties-3814524133?position=6&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=VF5AtEZKLMetwTFln8q34A%3D%3D&trk=public_jobs_jserp-result_search-card,5 months ago,Travco Properties,https://eg.linkedin.com/company/travco-properties?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Operations Specialist,https://eg.linkedin.com/jobs/view/operations-specialist-at-impactyn-3939701671?position=7&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=C7L%2BGptYtRPPiUt2hkaJjw%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Impactyn,https://www.linkedin.com/company/impactyn?trk=public_jobs_jserp-result_job-search-card-subtitle,"6th of October, Cairo, Egypt"
System Administrator - Remotely,https://eg.linkedin.com/jobs/view/system-administrator-remotely-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-3934522595?position=8&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=yN2In%2FiMHAoszU2IqJndPw%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Lucidya | لوسيديا,https://sa.linkedin.com/company/lucidya?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
Arabic - English Translator ( Freelance ),https://eg.linkedin.com/jobs/view/arabic-english-translator-freelance-at-jari-solutions-3942090844?position=9&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=skvIsPWroLHDJ7KLGBPlLQ%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Jari Solutions,https://sa.linkedin.com/company/jari-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Spanish VRI/OPI Interpretation Vacancy (Cairo Based),https://eg.linkedin.com/jobs/view/spanish-vri-opi-interpretation-vacancy-cairo-based-at-kalamcx-3953540407?position=10&pageNum=22&refId=lN614vP36vzBPtnMf8kblQ%3D%3D&trackingId=FTuki6vEBUQcwhNXXb%2Ba3A%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Kalamcx,https://ae.linkedin.com/company/kalamcx?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
People Experience Officer,https://eg.linkedin.com/jobs/view/people-experience-officer-at-b-tech-3948503276?position=1&pageNum=25&refId=rAtqhuyIooKiMrDzuru7Og%3D%3D&trackingId=v3rQql11fXJY34omkgLTig%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,B.TECH,https://eg.linkedin.com/company/b.tech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Nasr City, Cairo, Egypt"
Graphic Designer,https://eg.linkedin.com/jobs/view/graphic-designer-at-mimar-group-engineering-consultant-3948626782?position=2&pageNum=25&refId=rAtqhuyIooKiMrDzuru7Og%3D%3D&trackingId=zvnCgCZug4bamwljZ%2BB1fw%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,Mimar Group (Engineering Consultant),https://www.linkedin.com/company/mimar-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Qesm 2nd New Cairo, Cairo, Egypt"
"Account Manger, Beauty",https://eg.linkedin.com/jobs/view/account-manger-beauty-at-noon-3947025355?position=3&pageNum=25&refId=rAtqhuyIooKiMrDzuru7Og%3D%3D&trackingId=DucIzENuXZcAC41U8d%2Bbcg%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Senior Copy Writer,https://eg.linkedin.com/jobs/view/senior-copy-writer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3962027628?position=4&pageNum=25&refId=rAtqhuyIooKiMrDzuru7Og%3D%3D&trackingId=dZRunMoGq6DRFMvT9dtFwg%3D%3D&trk=public_jobs_jserp-result_search-card,5 hours ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
