job_title,job_detail_url,job_listed,company_name,company_link,company_location
Player Relations Executive,https://eg.linkedin.com/jobs/view/player-relations-executive-at-wadi-degla-clubs-company-s-a-e-3958025931?position=1&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=3oQGAoK3%2F%2FHyvDj0ItmgMw%3D%3D&trk=public_jobs_jserp-result_search-card,3 days ago,Wadi Degla Clubs Company S.A.E.,https://eg.linkedin.com/company/wadi-degla-clubs-company-s-a-e?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Site Engineer,https://eg.linkedin.com/jobs/view/site-engineer-at-m%C3%B6venpick-hotels-resorts-3932336176?position=2&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=vvYeecLXnnrZiFJL4hikIg%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Mövenpick Hotels & Resorts,https://fr.linkedin.com/company/moevenpick-hotels-&-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Bahr al Ahmar, Egypt"
Shift Engineer,https://eg.linkedin.com/jobs/view/shift-engineer-at-m%C3%B6venpick-hotels-resorts-3932331633?position=3&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=PFYnjAzfEc6mau3xTWzKkw%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Mövenpick Hotels & Resorts,https://fr.linkedin.com/company/moevenpick-hotels-&-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Bahr al Ahmar, Egypt"
Executive Assistant,https://eg.linkedin.com/jobs/view/executive-assistant-at-the-coca-cola-company-3959129118?position=4&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=jTqiU%2Bf2x9V%2Bn9PB7JwZLg%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,The Coca-Cola Company,https://www.linkedin.com/company/the-coca-cola-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Receptionist,https://eg.linkedin.com/jobs/view/receptionist-at-al-mansour-automotive-3959719132?position=5&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=vmbTmZoLhEMUjc2cZYQ7dw%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,Al-Mansour Automotive,https://eg.linkedin.com/company/al-mansour-automotive?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt"
Reconciliation Officer,https://eg.linkedin.com/jobs/view/reconciliation-officer-at-banque-misr-3948255612?position=6&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=0z54OZePor9NeU2Sfpqqiw%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
"Digital Marketing Executive, noon food",https://eg.linkedin.com/jobs/view/digital-marketing-executive-noon-food-at-noon-3937341892?position=7&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=YIJYZPf4tLfHwhUHV%2FAZBw%3D%3D&trk=public_jobs_jserp-result_search-card,4 weeks ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Training Officer,https://eg.linkedin.com/jobs/view/training-officer-at-wadi-degla-clubs-company-s-a-e-3958787420?position=8&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=68kpBLs5nv9AJxDaB1ZtjA%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Wadi Degla Clubs Company S.A.E.,https://eg.linkedin.com/company/wadi-degla-clubs-company-s-a-e?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Marketing Specialist,https://eg.linkedin.com/jobs/view/marketing-specialist-at-talaat-moustafa-group-3937196703?position=9&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=pMZa%2FS4MN1UjJz2EXSD%2BAQ%3D%3D&trk=public_jobs_jserp-result_search-card,4 weeks ago,Talaat Moustafa Group,https://eg.linkedin.com/company/talaatmoustafagroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Chief Accountant,https://eg.linkedin.com/jobs/view/chief-accountant-at-misr-technology-services-3942303348?position=10&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=RwKPeaOZw2Ly3CgyTHIWTA%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Misr Technology Services,https://eg.linkedin.com/company/misr-technology-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Heliopolis, Cairo, Egypt"
Trade Marketing Lead,https://eg.linkedin.com/jobs/view/trade-marketing-lead-at-beyti-an-almarai-subsidiary-3939025103?position=1&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=t9bkN5SssHiB7bdtxZJW8Q%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Beyti - an Almarai Subsidiary,https://eg.linkedin.com/company/beyti-an-almarai-subsidiary?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Public Relation Officer and HR Officer,https://eg.linkedin.com/jobs/view/public-relation-officer-and-hr-officer-at-sundus-3820237809?position=2&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=PsMLojFAS%2FdLhyNTh7UKbQ%3D%3D&trk=public_jobs_jserp-result_search-card,4 months ago,Sundus,https://ae.linkedin.com/company/sundusglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Talent Acquisition Specialist,https://eg.linkedin.com/jobs/view/talent-acquisition-specialist-at-talaat-moustafa-group-3957306900?position=3&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=GX8FX0s0dVR83ky8s%2FSZLA%3D%3D&trk=public_jobs_jserp-result_search-card,4 days ago,Talaat Moustafa Group,https://eg.linkedin.com/company/talaatmoustafagroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt"
General Accountant,https://eg.linkedin.com/jobs/view/general-accountant-at-mapei-middle-east-east-africa-3957196975?position=4&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=%2B3AvAiC6Or0QgFW2u%2F0VXg%3D%3D&trk=public_jobs_jserp-result_search-card,4 days ago,MAPEI Middle East & East Africa,https://ae.linkedin.com/company/mapeimeea?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
ممثل خدمة عملاء,https://eg.linkedin.com/jobs/view/%D9%85%D9%85%D8%AB%D9%84-%D8%AE%D8%AF%D9%85%D8%A9-%D8%B9%D9%85%D9%84%D8%A7%D8%A1-at-jobbab-3938104750?position=5&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=lWMdL7R56AMjfZrPsaqMiw%3D%3D&trk=public_jobs_jserp-result_search-card,4 weeks ago,Jobbab,https://www.linkedin.com/company/jobbab?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Project Manager,https://eg.linkedin.com/jobs/view/project-manager-at-talaat-moustafa-group-3957556712?position=6&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=b3Yg0QHfIP0%2BD0AadZ7p4w%3D%3D&trk=public_jobs_jserp-result_search-card,3 days ago,Talaat Moustafa Group,https://eg.linkedin.com/company/talaatmoustafagroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Medical Representative - Egypt Positions (detailed locations in post),https://eg.linkedin.com/jobs/view/medical-representative-egypt-positions-detailed-locations-in-post-at-danone-3957749201?position=7&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=%2F68o7%2B%2F3O3VI4W0XYhnh9g%3D%3D&trk=public_jobs_jserp-result_search-card,3 days ago,Danone,https://fr.linkedin.com/company/danone?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kafr ash Shaykh, Kafr ash Shaykh, Egypt"
IT Specialist,https://eg.linkedin.com/jobs/view/it-specialist-at-nawy-3934536750?position=8&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=TLGqTu6gi9fWYqlgIxK85g%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Nawy,https://eg.linkedin.com/company/nawyestate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Front Desk Receptionist - Sales Office,https://eg.linkedin.com/jobs/view/front-desk-receptionist-sales-office-at-talaat-moustafa-group-3957312040?position=9&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=%2F37OJlDuW1dCMyNWemgtLw%3D%3D&trk=public_jobs_jserp-result_search-card,4 days ago,Talaat Moustafa Group,https://eg.linkedin.com/company/talaatmoustafagroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt"
Social Media Intern - Noon Food Egypt,https://eg.linkedin.com/jobs/view/social-media-intern-noon-food-egypt-at-noon-3946882195?position=10&pageNum=2&refId=qwGox5wvb1%2BKzZwnXDyebQ%3D%3D&trackingId=w6Urs0aY3Zc59%2Fri6VVDKA%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt"
Customer Success Manager (Remote),https://eg.linkedin.com/jobs/view/customer-success-manager-remote-at-pluto-3955859791?position=1&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=1cAWu5v4wV4oFBjxe8Lk9w%3D%3D&trk=public_jobs_jserp-result_search-card,5 days ago,Pluto,https://ae.linkedin.com/company/plutocardmena?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Product Owner,https://eg.linkedin.com/jobs/view/product-owner-at-banque-misr-3895820331?position=2&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=nvbN5t5%2FSSYw9%2By30SmbGw%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Customer Life Cycle Unit Manager,https://eg.linkedin.com/jobs/view/customer-life-cycle-unit-manager-at-adib-abu-dhabi-islamic-bank-3942273956?position=3&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=xDuCQXS7MkhFqmbxy9DjUQ%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,ADIB - Abu Dhabi Islamic Bank,https://ae.linkedin.com/company/abu-dhabi-islamic-bank?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Administrative Assistant,https://eg.linkedin.com/jobs/view/administrative-assistant-at-novartis-3956936526?position=4&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=N3f6zidi51kcDq6AnEUKoQ%3D%3D&trk=public_jobs_jserp-result_search-card,4 days ago,Novartis,https://ch.linkedin.com/company/novartis?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
Seller Operation Executive,https://eg.linkedin.com/jobs/view/seller-operation-executive-at-noon-3942591800?position=5&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=6CoWPNARnIPfDgU3gzW43Q%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"6th of October, Al Jizah, Egypt"
Quality Assurance Supervisor - Customer Service,https://eg.linkedin.com/jobs/view/quality-assurance-supervisor-customer-service-at-noon-3940353761?position=6&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=tp3hhU7509kVRcPbI6hhRg%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"El Sheikh Zaid, Al Jizah, Egypt"
Inventory Controller,https://eg.linkedin.com/jobs/view/inventory-controller-at-tagaddod-3930125638?position=7&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=OTnaikGT594qgaCcTdI%2BEg%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Tagaddod,https://eg.linkedin.com/company/tagaddod?trk=public_jobs_jserp-result_job-search-card-subtitle,"6th of October, Cairo, Egypt"
HR Specialist,https://eg.linkedin.com/jobs/view/hr-specialist-at-adree-3958030345?position=8&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=UUxKCBfjkpQvHgFsV8g60Q%3D%3D&trk=public_jobs_jserp-result_search-card,4 weeks ago,Adree,https://sa.linkedin.com/company/adree-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Junior Software Engineer,https://eg.linkedin.com/jobs/view/junior-software-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3930305369?position=9&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=q9toN%2BOHzLayWjbuEDvc%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Procurement Specialist,https://eg.linkedin.com/jobs/view/procurement-specialist-at-nestl%C3%A9-3951258791?position=10&pageNum=5&refId=xfGJqgj3D%2F23PURi%2FnS8Gw%3D%3D&trackingId=YZvYefdWBSfSRy2gMo3XZA%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Nestlé,https://ch.linkedin.com/company/nestle-s-a-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
HR Operations Lead,https://eg.linkedin.com/jobs/view/hr-operations-lead-at-al-ahly-momkn-for-e-payments-3949666567?position=1&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=mFo0zoku1Iy7tWpKNzvyrA%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Al Ahly Momkn For E-payments,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Corporate Social Responsibility Executive,https://eg.linkedin.com/jobs/view/corporate-social-responsibility-executive-at-banque-misr-3958796445?position=2&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=kveigzUVhDnokae0fd381w%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Corporate Relationship Manager,https://eg.linkedin.com/jobs/view/corporate-relationship-manager-at-al-ahli-bank-of-kuwait-egypt-3936822708?position=3&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=nuw16o%2BLKMmPkTcTYJ5Aag%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Al Ahli Bank of Kuwait - Egypt,https://eg.linkedin.com/company/abkegypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
IT Technician,https://eg.linkedin.com/jobs/view/it-technician-at-breadfast-3903835696?position=4&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=ncDvuXjVGwCQAtYnemCDIA%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,Breadfast,https://eg.linkedin.com/company/breadfast?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
purchase Officer,https://eg.linkedin.com/jobs/view/purchase-officer-at-pipecare-group-3874882594?position=5&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=zIja5IA0SgXsxeLZ9HLrgQ%3D%3D&trk=public_jobs_jserp-result_search-card,3 months ago,PIPECARE Group,https://ae.linkedin.com/company/pipecaregroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Graphic Designer,https://eg.linkedin.com/jobs/view/graphic-designer-at-lamipak-3960423381?position=6&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=1bELGkdej2lyYIYXBeJO%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,Lamipak,https://cn.linkedin.com/company/lamipackaging?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Maḩallah al Kubrá, Al Gharbiyah, Egypt"
General Manager,https://eg.linkedin.com/jobs/view/general-manager-at-accor-3943723297?position=7&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=Jphp8wwXb2jkmnof0C5x3g%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Accor,https://fr.linkedin.com/company/accor?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hurghada, Al Bahr al Ahmar, Egypt"
Customer Experience Representative,https://eg.linkedin.com/jobs/view/customer-experience-representative-at-thndr-3953541318?position=8&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=JLLToUk7JjHo3LlF%2FkS4Ng%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Thndr,https://eg.linkedin.com/company/thndrapp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Talent Management Partner,https://eg.linkedin.com/jobs/view/talent-management-partner-at-al-mansour-automotive-3943422852?position=9&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=Tkfn%2BWdMV1LcR%2Fh1w0wLWw%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Al-Mansour Automotive,https://eg.linkedin.com/company/al-mansour-automotive?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt"
Contact Center Representative,https://eg.linkedin.com/jobs/view/contact-center-representative-at-nawy-3887660221?position=10&pageNum=7&refId=hiL6pj9%2B5iC1hBOlvH0cSg%3D%3D&trackingId=KAb1W1S6EfIGUWKAPdyq%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,Nawy,https://eg.linkedin.com/company/nawyestate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Customer Service - Retail Vacancies,https://eg.linkedin.com/jobs/view/customer-service-retail-vacancies-at-a3malouna-com-3943236367?position=1&pageNum=10&refId=sZtqeoz1BIfb3A4pJrA1eA%3D%3D&trackingId=rpdPYppYKvZTnrxbbgKnxg%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,A3malouna.com,https://www.linkedin.com/company/a3malouna?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt"
Technical Support Engineer,https://eg.linkedin.com/jobs/view/technical-support-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3901244662?position=2&pageNum=10&refId=sZtqeoz1BIfb3A4pJrA1eA%3D%3D&trackingId=ncXZJGiDOt5qZV2uMb15HA%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Corporate Relationship Manager,https://eg.linkedin.com/jobs/view/corporate-relationship-manager-at-al-ahli-bank-of-kuwait-egypt-3936822708?position=3&pageNum=10&refId=sZtqeoz1BIfb3A4pJrA1eA%3D%3D&trackingId=xH6zLLj7fT9hPHoqTAirQw%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Al Ahli Bank of Kuwait - Egypt,https://eg.linkedin.com/company/abkegypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Backend Engineer,https://eg.linkedin.com/jobs/view/backend-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3814059987?position=4&pageNum=10&refId=sZtqeoz1BIfb3A4pJrA1eA%3D%3D&trackingId=cDiiIEWILr%2BFST%2F%2BwekAPw%3D%3D&trk=public_jobs_jserp-result_search-card,5 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Operational Internal Auditor,https://eg.linkedin.com/jobs/view/operational-internal-auditor-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3908574643?position=5&pageNum=10&refId=sZtqeoz1BIfb3A4pJrA1eA%3D%3D&trackingId=zU4vLf6DOzIKjuQAUKUcCQ%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Chief of Staff,https://eg.linkedin.com/jobs/view/chief-of-staff-at-ssc-egypt-3908239135?position=6&pageNum=10&refId=sZtqeoz1BIfb3A4pJrA1eA%3D%3D&trackingId=O2rFBOXqMKEWt3hvcTik2A%3D%3D&trk=public_jobs_jserp-result_search-card,2 months ago,SSC Egypt,https://eg.linkedin.com/company/ssc-egypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
